sku,type,parent_sku,family,categories,brand,pack_type,net_weight_g,net_volume_ml,shelf_life_days,storage_temperature,country_of_origin,is_vegan,is_vegetarian,is_gluten_free,is_halal,is_kosher,gtin_13,name-en_US,short_description-en_US,ingredients_list-en_US,msrp-ecommerce-USD,msrp-ecommerce-EUR,msrp-ecommerce-GBP
DEMO-BEV-WATER-500ML,simple,,food_grocery,"beverages,water",pure_springs,bottle,520,500,365,ambient,CH,1,1,1,1,1,5099999000012,Pure Springs Still Water 500ml,Still natural mineral water from Alpine springs. 500ml recyclable bottle.,Natural mineral water.,0.99,0.89,0.79
DEMO-BEV-SODA-330ML,simple,,food_grocery,"beverages,soft_drinks",globalstore_classic,can,345,330,365,ambient,DE,1,1,1,1,1,5099999000029,GlobalStore Lemon Soda 330ml,Refreshing lemon-flavoured carbonated drink in a 330ml slim can.,"Carbonated water, sugar, natural lemon flavourings, citric acid.",1.49,1.29,1.19
DEMO-DAIRY-MILK-1L,simple,,food_grocery,"dairy,milk",summit_dairy,carton,1040,1000,14,chilled_2_8c,FR,0,1,1,1,1,5099999000036,Summit Dairy Whole Milk 1L,Fresh whole milk from pasture-raised cows. 1L carton. Contains milk.,Pasteurised whole cow's milk (3.5% fat).,2.99,2.69,2.49
DEMO-DAIRY-CHEESE-200G,simple,,food_grocery,"dairy,cheese",summit_dairy,box,200,,90,chilled_2_8c,NL,0,1,1,0,1,5099999000043,Summit Dairy Aged Gouda 200g,"Aged 12-month Dutch Gouda, semi-hard, creamy with a nutty finish. 200g wedge.",Pasteurised cow's milk, salt, bacterial cultures, microbial rennet.,5.99,5.49,4.99
DEMO-SNACK-CHIPS-150G,simple,,food_grocery,"snacks,chips_crisps",globalstore_classic,pouch,150,,240,ambient,BE,1,1,1,1,1,5099999000050,"GlobalStore Sea Salt Crisps 150g","Hand-cooked potato crisps with sea salt. 150g pouch. Vegan.","Potatoes, sunflower oil, sea salt.",2.99,2.69,2.49
DEMO-SNACK-CHOC-80G,simple,,food_grocery,"snacks,chocolate_confectionery",cocoa_house,box,80,,540,ambient,CH,0,1,1,0,1,5099999000067,Cocoa House Milk Chocolate 80g,Smooth Swiss milk chocolate bar. 80g. Contains milk and soy.,"Sugar, cocoa butter, whole milk powder, cocoa mass, soy lecithin, natural vanilla.",3.49,3.19,2.99
DEMO-PANTRY-PASTA-500G,simple,,food_grocery,"pantry,pasta_rice",pasta_reale,box,500,,720,ambient,IT,1,1,0,1,1,5099999000074,Pasta Reale Penne 500g,Durum wheat penne from Italy. 500g. 11-minute cook time. Vegan.,"Durum wheat semolina, water.",2.29,1.99,1.79
DEMO-PANTRY-RICE-1KG,simple,,food_grocery,"pantry,pasta_rice",harvest_grove,box,1000,,720,ambient,IT,1,1,1,1,1,5099999000081,Harvest Grove Arborio Risotto Rice 1kg,Italian Arborio rice for creamy risottos. 1kg recyclable box.,Arborio rice.,4.99,4.49,3.99
DEMO-BREAKFAST-GRANOLA-400G,simple,,food_grocery,breakfast_cereals,sunrise_cereals,pouch,400,,365,ambient,DE,1,1,0,1,1,5099999000098,Sunrise Nutty Granola 400g,Crunchy oat granola with almonds and maple. 400g pouch. Contains gluten and tree nuts.,"Rolled oats, almonds, sugar, maple syrup, sunflower oil, honey, salt.",4.99,4.49,3.99
DEMO-PANTRY-HONEY-350G,simple,,food_grocery,"pantry,cooking_essentials",verdant_kitchen,jar,350,,720,ambient,ES,1,1,1,1,1,5099999000104,Verdant Kitchen Raw Acacia Honey 350g,Raw unfiltered acacia honey in a 350g glass jar. Spanish origin.,Raw acacia honey.,7.99,6.99,6.49
